IE_XML_ID;IE_NAME;PICTURE
060953e1-a97d-11e9-90ba-00d86135be54;Припой трубка с канифолью 10 г. 1мм Rexant;
060953e3-a97d-11e9-90ba-00d86135be54;Канифоль сосновая 20 гр Rexant;
cb7b42ce-1775-11ec-a55c-8b78ee23a370;Прокладка маслонасоса 2108;
aa48c121-a4ad-11e9-90b3-00d86135be54;Втулка клапанной крышки (грибок) (ВАЗ) 2108 (1003277-01);
aa48c125-a4ad-11e9-90b3-00d86135be54;Втулка кронштейна упора капота 2108 (БРТ) (8407134);
aa48c128-a4ad-11e9-90b3-00d86135be54;Втулка направляющая масляного клапана 2112 (1003346-00);
b6d1bdfe-a4ad-11e9-90b3-00d86135be54;Втулка педали сцепления 2101 (внутр.) (1602069-00);
d98612cf-a4ad-11e9-90b3-00d86135be54;Крышка б/бака 2108 (эксцентрик/металл);
d98612d1-a4ad-11e9-90b3-00d86135be54;Крышка расширительного бачка 2101/УАЗ/ГАЗ (Метал) ;
05cdba13-a97b-11e9-90ba-00d86135be54;Вал привода маслонасоса 2101 с шестерней (поросенок) (ВАЗ) (1011235-00);
05cdba14-a97b-11e9-90ba-00d86135be54;Вал привода маслонасоса 2101 с шестерней (поросенок) (ВолгаАвтоПром) (1011235-00);
05cdba31-a97b-11e9-90ba-00d86135be54;Венец маховика 1111;
05cdba32-a97b-11e9-90ba-00d86135be54;Венец маховика 2101 (ВолгаАвтоПром) (1005115);
05cdba33-a97b-11e9-90ba-00d86135be54;Венец маховика 2101 зел. (1005125-00);
05cdba34-a97b-11e9-90ba-00d86135be54;Венец маховика 2108;
05cdba35-a97b-11e9-90ba-00d86135be54;Венец маховика 2108 (ВолгаАвтоПром) (1005115) (КРАСН.);
05cdba36-a97b-11e9-90ba-00d86135be54;Венец маховика 2110 (ВолгаАвтоПром);
05cdba37-a97b-11e9-90ba-00d86135be54;Венец маховика 2110 белый (10505125-00);
0da504d4-a97b-11e9-90ba-00d86135be54;Вкладыш поросенка 2101 рем.;
0da504d5-a97b-11e9-90ba-00d86135be54;Вкладыш поросенка 2101 стандарт;
157739bf-a97b-11e9-90ba-00d86135be54;Втулка рампы подвода масла 21214 (1007206-31);
157739c4-a97b-11e9-90ba-00d86135be54;Втулка регулировочного болта-рокера 2101 (1007077);
157739d4-a97b-11e9-90ba-00d86135be54;Втулка установочная головки 2101 (1002042);
